"Year","Month","Shootings"
2004,"January",12
2004,"February",2
2004,"March",13
2004,"April",12
2004,"May",14
2004,"June",9
2004,"July",8
2004,"August",10
2004,"September",12
2004,"October",9
2004,"November",12
2004,"December",9
2005,"January",10
2005,"February",16
2005,"March",14
2005,"April",19
2005,"May",20
2005,"June",27
2005,"July",25
2005,"August",31
2005,"September",16
2005,"October",17
2005,"November",18
2005,"December",18
2006,"January",13
2006,"February",12
2006,"March",22
2006,"April",17
2006,"May",16
2006,"June",24
2006,"July",18
2006,"August",6
2006,"September",14
2006,"October",23
2006,"November",16
2006,"December",21
2007,"January",16
2007,"February",5
2007,"March",12
2007,"April",12
2007,"May",17
2007,"June",15
2007,"July",24
2007,"August",14
2007,"September",11
2007,"October",25
2007,"November",14
2007,"December",8
2008,"January",15
2008,"February",13
2008,"March",18
2008,"April",11
2008,"May",14
2008,"June",13
2008,"July",29
2008,"August",20
2008,"September",31
2008,"October",25
2008,"November",13
2008,"December",6
2009,"January",19
2009,"February",12
2009,"March",11
2009,"April",11
2009,"May",21
2009,"June",10
2009,"July",19
2009,"August",22
2009,"September",14
2009,"October",13
2009,"November",17
2009,"December",12
2010,"January",10
2010,"February",6
2010,"March",5
2010,"April",13
2010,"May",9
2010,"June",10
2010,"July",23
2010,"August",24
2010,"September",21
2010,"October",20
2010,"November",22
2010,"December",7
2011,"January",8
2011,"February",12
2011,"March",8
2011,"April",9
2011,"May",12
2011,"June",12
2011,"July",14
2011,"August",10
2011,"September",14
2011,"October",18
2011,"November",11
2011,"December",13
2012,"January",17
2012,"February",13
2012,"March",5
2012,"April",6
2012,"May",11
2012,"June",21
2012,"July",39
2012,"August",5
2012,"September",8
2012,"October",16
2012,"November",6
2012,"December",1
2013,"January",10
2013,"February",10
2013,"March",12
2013,"April",14
2013,"May",8
2013,"June",6
2013,"July",8
2013,"August",24
2013,"September",14
2013,"October",9
2013,"November",10
2013,"December",16
2014,"January",11
2014,"February",4
2014,"March",9
2014,"April",5
2014,"May",10
2014,"June",7
2014,"July",13
2014,"August",10
2014,"September",8
2014,"October",12
2014,"November",5
2014,"December",9
2015,"January",17
2015,"February",7
2015,"March",10
2015,"April",18
2015,"May",14
2015,"June",14
2015,"July",9
2015,"August",15
2015,"September",10
2015,"October",9
2015,"November",10
2015,"December",19
2016,"January",30
2016,"February",10
2016,"March",8
2016,"April",17
2016,"May",11
2016,"June",15
2016,"July",25
2016,"August",18
2016,"September",16
2016,"October",18
2016,"November",11
2016,"December",14
2017,"January",13
2017,"February",17
2017,"March",13
2017,"April",17
2017,"May",12
2017,"June",11
2017,"July",34
2017,"August",18
2017,"September",20
2017,"October",11
2017,"November",10
2017,"December",11
2018,"January",21
2018,"February",8
2018,"March",10
2018,"April",19
2018,"May",21
2018,"June",21
2018,"July",32
2018,"August",24
2018,"September",22
2018,"October",10
2018,"November",14
2018,"December",27
2019,"January",15
2019,"February",15
2019,"March",15
2019,"April",18
2019,"May",19
2019,"June",21
2019,"July",19
2019,"August",44
2019,"September",27
2019,"October",44
2019,"November",23
2019,"December",24
2020,"January",17
2020,"February",9
2020,"March",24
2020,"April",11
2020,"May",21
2020,"June",11
2020,"July",30
2020,"August",33
2020,"September",29
2020,"October",9
2020,"November",12
2020,"December",11
2021,"January",12
2021,"February",14
2021,"March",9
2021,"April",14
2021,"May",17
2021,"June",19
2021,"July",30
2021,"August",26
2021,"September",17
2021,"October",24
2021,"November",14
2021,"December",13
2022,"January",22
2022,"February",20
2022,"March",4
2022,"April",16
2022,"May",13
2022,"June",28
2022,"July",14
2022,"August",13
2022,"September",24
2022,"October",19
2022,"November",13
2022,"December",8
2023,"January",11
2023,"February",8
2023,"March",12
2023,"April",8
2023,"May",11
2023,"June",17
2023,"July",20
2023,"August",24
2023,"September",18
2023,"October",7
2023,"November",13
2023,"December",19
